289222
image_name  category_label
img/Sheer_Pleated-Front_Blouse/img_00000001.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000002.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000003.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000004.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000005.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000006.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000007.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000008.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000009.jpg                        3
img/Sheer_Pleated-Front_Blouse/img_00000010.jpg                        3
img/Single-Button_Blazer/img_00000001.jpg                              2
img/Single-Button_Blazer/img_00000002.jpg                              2
img/Single-Button_Blazer/img_00000003.jpg                              2
img/Single-Button_Blazer/img_00000004.jpg                              2
img/Single-Button_Blazer/img_00000005.jpg                              2
img/Single-Button_Blazer/img_00000006.jpg                              2
img/Single-Button_Blazer/img_00000007.jpg                              2
img/Single-Button_Blazer/img_00000008.jpg                              2
img/Single-Button_Blazer/img_00000009.jpg                              2
img/Single-Button_Blazer/img_00000010.jpg                              2
img/Open-Knit_High-Slit_Maxi_Dress/img_00000001.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000002.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000003.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000004.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000005.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000006.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000007.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000008.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000009.jpg                    41
img/Open-Knit_High-Slit_Maxi_Dress/img_00000010.jpg                    41
img/Open-Mesh_Midi_Dress/img_00000001.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000002.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000003.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000004.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000005.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000006.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000007.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000008.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000009.jpg                              41
img/Open-Mesh_Midi_Dress/img_00000010.jpg                              41
img/Lace_PJ_Shorts/img_00000001.jpg                                    32
img/Lace_PJ_Shorts/img_00000002.jpg                                    32
img/Lace_PJ_Shorts/img_00000003.jpg                                    32
img/Lace_PJ_Shorts/img_00000004.jpg                                    32
img/Lace_PJ_Shorts/img_00000005.jpg                                    32
img/Lace_PJ_Shorts/img_00000006.jpg                                    32
img/Lace_PJ_Shorts/img_00000007.jpg                                    32
img/Lace_PJ_Shorts/img_00000008.jpg                                    32
img/Lace_PJ_Shorts/img_00000009.jpg                                    32
img/Lace_PJ_Shorts/img_00000010.jpg                                    32
img/Lace_PJ_Shorts/img_00000011.jpg                                    32
img/Lace_PJ_Shorts/img_00000012.jpg                                    32
img/Lace_PJ_Shorts/img_00000013.jpg                                    32
img/Lace_PJ_Shorts/img_00000014.jpg                                    32
img/Lace_PJ_Shorts/img_00000015.jpg                                    32
img/Lace_PJ_Shorts/img_00000016.jpg                                    32
img/Lace_PJ_Shorts/img_00000017.jpg                                    32
img/Lace_PJ_Shorts/img_00000018.jpg                                    32
img/Lace_PJ_Shorts/img_00000019.jpg                                    32
img/Lace_PJ_Shorts/img_00000020.jpg                                    32
